==================================================================
fastsimcoal started on 26/06/2025 at 15:32:23

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
177	1	data unknown	356.125	0	0
178	1	data unknown	3650.02	0	0
179	1	data unknown	2006.06	0	0
180	1	data unknown	1550.96	0	0
181	1	data unknown	239.754	0	0
182	1	data unknown	1746.19	0	0
183	1	data unknown	2034.15	0	0
184	1	data unknown	1246.8	0	0
185	1	data unknown	2066.7	0	0
186	1	data unknown	647.614	0	0
187	1	data unknown	1669.22	0	0
188	1	data unknown	54.6036	0	0
189	1	data unknown	1285.53	0	0
190	1	data unknown	1624.4	0	0
191	1	data unknown	817.528	0	0
192	1	data unknown	2081.16	0	0
193	1	data unknown	3349.43	0	0
194	1	data unknown	591.797	0	0
195	1	data unknown	4.36401	0	0
196	1	data unknown	2151.95	0	0
197	1	data unknown	320.351	0	0
198	1	data unknown	2462.05	0	0
199	1	data unknown	2231.22	0	0
200	1	data unknown	328.369	0	0
201	1	data unknown	376.228	0	0
202	1	data unknown	846.489	0	0
203	1	data unknown	1864.09	0	0
204	1	data unknown	493.668	0	0
205	1	data unknown	2188.14	0	0
206	1	data unknown	150.65	0	0
207	1	data unknown	2432.32	0	0
208	1	data unknown	61.1649	0	0
209	1	data unknown	337.83	0	0
210	1	data unknown	398.041	0	0
211	1	data unknown	2269.26	0	0
212	1	data unknown	721.024	0	0
213	1	data unknown	526.947	0	0
214	1	data unknown	279.167	0	0
215	1	data unknown	2222.39	0	0
216	1	data unknown	2014.18	0	0
217	1	data unknown	661.499	0	0
218	1	data unknown	48.8739	0	0
219	1	data unknown	779.099	0	0
220	1	data unknown	1587.12	0	0
221	1	data unknown	2219.48	0	0
222	1	data unknown	2000.19	0	0
223	1	data unknown	107.155	0	0
224	1	data unknown	809.158	0	0
225	1	data unknown	1035.1	0	0
226	1	data unknown	2448.08	0	0
227	1	data unknown	136.52	0	0
228	1	data unknown	3467.14	0	0
229	1	data unknown	535.08	0	0
230	1	data unknown	3070.42	0	0
231	1	data unknown	2732.35	0	0
232	1	data unknown	2419.79	0	0
233	1	data unknown	2048.79	0	0
234	1	data unknown	2286.01	0	0
235	1	data unknown	2134.41	0	0
236	1	data unknown	1184.74	0	0
237	1	data unknown	2189.48	0	0
238	1	data unknown	2069.13	0	0
239	1	data unknown	2016.02	0	0
240	1	data unknown	1095.28	0	0
241	1	data unknown	4.11224	0	0
242	1	data unknown	2809.88	0	0
243	1	data unknown	562.18	0	0
244	1	data unknown	234.749	0	0
245	1	data unknown	1625.51	0	0
246	1	data unknown	557.465	0	0
247	1	data unknown	373.154	0	0
248	1	data unknown	553.207	0	0
249	1	data unknown	2150.7	0	0
250	1	data unknown	720.612	0	0
251	1	data unknown	3868.1	0	0
252	1	data unknown	2217.96	0	0
253	1	data unknown	3317.87	0	0
254	1	data unknown	849.655	0	0
255	1	data unknown	2802.09	0	0
256	1	data unknown	825.638	0	0
257	1	data unknown	2303.71	0	0
258	1	data unknown	661.064	0	0
259	1	data unknown	241.936	0	0
260	1	data unknown	386.101	0	0
261	1	data unknown	26.3748	0	0
262	1	data unknown	315.376	0	0
263	1	data unknown	1612.4	0	0
264	1	data unknown	215.614	0	0
265	1	data unknown	1804.21	0	0
266	1	data unknown	1881.8	0	0
267	1	data unknown	921.272	0	0
268	1	data unknown	2016.98	0	0
269	1	data unknown	838.631	0	0
270	1	data unknown	2043.19	0	0
271	1	data unknown	172.241	0	0
272	1	data unknown	446.06	0	0
273	1	data unknown	2009.54	0	0
274	1	data unknown	1630.22	0	0
275	1	data unknown	1254.59	0	0
276	1	data unknown	2048	0	0
277	1	data unknown	1837.49	0	0
278	1	data unknown	37.5366	0	0
279	1	data unknown	50.5753	0	0
280	1	data unknown	1218.79	0	0
281	1	data unknown	2480	0	0
282	1	data unknown	576.019	0	0
283	1	data unknown	2030.17	0	0
284	1	data unknown	1444.33	0	0
285	1	data unknown	844.002	0	0
286	1	data unknown	1700.56	0	0
287	1	data unknown	1658.22	0	0
288	1	data unknown	3155.28	0	0
289	1	data unknown	2748.87	0	0
290	1	data unknown	2229.74	0	0
291	1	data unknown	999.962	0	0
292	1	data unknown	2219.36	0	0
293	1	data unknown	2693.61	0	0
294	1	data unknown	1196.85	0	0
295	1	data unknown	2163.12	0	0
296	1	data unknown	265.121	0	0
297	1	data unknown	1594.06	0	0
298	1	data unknown	2061.93	0	0
299	1	data unknown	320.732	0	0
300	1	data unknown	1045.6	0	0
301	1	data unknown	854.66	0	0
302	1	data unknown	650.658	0	0
303	1	data unknown	757.439	0	0
304	1	data unknown	2266.63	0	0
305	1	data unknown	4.74548	0	0
306	1	data unknown	2378.92	0	0
307	1	data unknown	3042.04	0	0
308	1	data unknown	481.903	0	0
309	1	data unknown	1672.93	0	0
310	1	data unknown	1185.53	0	0
311	1	data unknown	3213.34	0	0
312	1	data unknown	2188.85	0	0
313	1	data unknown	2125.77	0	0
314	1	data unknown	2067.74	0	0
315	1	data unknown	1563.55	0	0
316	1	data unknown	95.9167	0	0
317	1	data unknown	252.502	0	0
318	1	data unknown	1250.98	0	0
319	1	data unknown	23.7961	0	0
320	1	data unknown	507.362	0	0
321	1	data unknown	3526.33	0	0
322	1	data unknown	782.31	0	0
323	1	data unknown	2075.78	0	0
324	1	data unknown	1931.3	0	0
325	1	data unknown	2921.17	0	0
326	1	data unknown	2087.99	0	0
327	1	data unknown	2346.89	0	0
328	1	data unknown	828.018	0	0
329	1	data unknown	430.359	0	0
330	1	data unknown	1740.94	0	0
331	1	data unknown	974.38	0	0
332	1	data unknown	2698.77	0	0
333	1	data unknown	2101	0	0
334	1	data unknown	1953.99	0	0
335	1	data unknown	2089.52	0	0
336	1	data unknown	3851.11	0	0
337	1	data unknown	3151.19	0	0
338	1	data unknown	1329.7	0	0
339	1	data unknown	1266.89	0	0
340	1	data unknown	418.35	0	0
341	1	data unknown	1914.42	0	0
342	1	data unknown	70.6787	0	0
343	1	data unknown	2473.48	0	0
344	1	data unknown	1106.19	0	0
345	1	data unknown	1464.77	0	0
346	1	data unknown	1593.15	0	0
347	1	data unknown	2035	0	0
348	1	data unknown	628.7	0	0
349	1	data unknown	430.046	0	0
350	1	data unknown	763.58	0	0
351	1	data unknown	558.983	0	0
352	1	data unknown	2093.95	0	0
353	1	data unknown	2152.32	0	0
354	1	data unknown	1017.87	0	0
355	1	data unknown	499.062	0	0
356	1	data unknown	500.046	0	0
357	1	data unknown	2043.7	0	0
358	1	data unknown	2115.3	0	0
359	1	data unknown	2238.58	0	0
360	1	data unknown	1650.99	0	0
361	1	data unknown	1415.88	0	0
362	1	data unknown	2072.17	0	0
363	1	data unknown	3383.07	0	0
364	1	data unknown	993.584	0	0
365	1	data unknown	1800.59	0	0
366	1	data unknown	3125.72	0	0
367	1	data unknown	48.1262	0	0
368	1	data unknown	347.343	0	0
369	1	data unknown	1117.29	0	0
370	1	data unknown	2177.16	0	0
371	1	data unknown	2176.04	0	0
372	1	data unknown	1275.54	0	0
373	1	data unknown	1480.46	0	0
374	1	data unknown	2948.89	0	0
375	1	data unknown	2694.26	0	0
376	1	data unknown	532.73	0	0
377	1	data unknown	885.796	0	0
378	1	data unknown	1757.73	0	0
379	1	data unknown	2954.8	0	0
380	1	data unknown	329.849	0	0
381	1	data unknown	1561.16	0	0
382	1	data unknown	2247.09	0	0
383	1	data unknown	1619.8	0	0
384	1	data unknown	679.039	0	0
385	1	data unknown	568.932	0	0
386	1	data unknown	26.8326	0	0
387	1	data unknown	349.236	0	0
388	1	data unknown	2336.38	0	0
389	1	data unknown	418.114	0	0
390	1	data unknown	2014.08	0	0
391	1	data unknown	2157.26	0	0
392	1	data unknown	2862.98	0	0
393	1	data unknown	1413.82	0	0
394	1	data unknown	2117.05	0	0
395	1	data unknown	2093.69	0	0
396	1	data unknown	4175.53	0	0
397	1	data unknown	681.992	0	0
398	1	data unknown	1082.79	0	0
399	1	data unknown	1869.53	0	0
400	1	data unknown	2241.53	0	0
401	1	data unknown	3249.2	0	0
402	1	data unknown	2531.95	0	0
403	1	data unknown	1505.91	0	0
404	1	data unknown	833.557	0	0
405	1	data unknown	144.585	0	0
406	1	data unknown	2867.25	0	0
407	1	data unknown	2189.43	0	0
408	1	data unknown	1097.58	0	0
409	1	data unknown	590.637	0	0
410	1	data unknown	1986.57	0	0
411	1	data unknown	775.23	0	0
412	1	data unknown	442.169	0	0
413	1	data unknown	2505.85	0	0
414	1	data unknown	162.331	0	0
415	1	data unknown	2522.66	0	0
416	1	data unknown	615.738	0	0
417	1	data unknown	605.949	0	0
418	1	data unknown	3225.82	0	0
419	1	data unknown	1199.46	0	0
420	1	data unknown	3511.47	0	0
421	1	data unknown	2029.93	0	0
422	1	data unknown	3640.19	0	0
423	1	data unknown	910.614	0	0
424	1	data unknown	2099.76	0	0
425	1	data unknown	874.428	0	0
426	1	data unknown	2817.57	0	0
427	1	data unknown	260.994	0	0
428	1	data unknown	689.392	0	0
429	1	data unknown	978.722	0	0
430	1	data unknown	2086.12	0	0
431	1	data unknown	1873.2	0	0
432	1	data unknown	2065.67	0	0
433	1	data unknown	2695.55	0	0
434	1	data unknown	1365.97	0	0
435	1	data unknown	780.556	0	0
436	1	data unknown	2411.52	0	0
437	1	data unknown	1485.72	0	0
438	1	data unknown	126.457	0	0
439	1	data unknown	2185.26	0	0
440	1	data unknown	362.801	0	0
441	1	data unknown	643.974	0	0
442	1	data unknown	738.228	0	0
443	1	data unknown	432.159	0	0
444	1	data unknown	311.79	0	0
445	1	data unknown	2492.52	0	0
446	1	data unknown	2720.59	0	0
447	1	data unknown	1863.72	0	0
448	1	data unknown	1345.31	0	0
449	1	data unknown	2625.07	0	0
450	1	data unknown	1370.04	0	0
451	1	data unknown	2309.49	0	0
452	1	data unknown	2062.51	0	0
453	1	data unknown	775.97	0	0
454	1	data unknown	2282.49	0	0
455	1	data unknown	2160.78	0	0
456	1	data unknown	176.849	0	0
457	1	data unknown	1446.09	0	0
458	1	data unknown	2352.87	0	0
459	1	data unknown	1681.36	0	0
460	1	data unknown	270.882	0	0
461	1	data unknown	1580.8	0	0
462	1	data unknown	1389.66	0	0
463	1	data unknown	2136.79	0	0
464	1	data unknown	742.813	0	0
465	1	data unknown	88.7222	0	0
466	1	data unknown	1214.26	0	0
467	1	data unknown	2218.13	0	0
468	1	data unknown	2560.64	0	0
469	1	data unknown	888.802	0	0
470	1	data unknown	2614.56	0	0
471	1	data unknown	694.42	0	0
472	1	data unknown	2308.81	0	0
473	1	data unknown	730.316	0	0
474	1	data unknown	1343.95	0	0
475	1	data unknown	2062.59	0	0
476	1	data unknown	199.303	0	0
477	1	data unknown	2141.79	0	0
478	1	data unknown	111.053	0	0
479	1	data unknown	1663.67	0	0
480	1	data unknown	623.016	0	0
481	1	data unknown	639.778	0	0
482	1	data unknown	2269.2	0	0
483	1	data unknown	2658.52	0	0
484	1	data unknown	2365.93	0	0
485	1	data unknown	544.785	0	0
486	1	data unknown	2248.69	0	0
487	1	data unknown	1734.56	0	0
488	1	data unknown	326.035	0	0
489	1	data unknown	2380.07	0	0
490	1	data unknown	58.9294	0	0
491	1	data unknown	2071.97	0	0
492	1	data unknown	588.074	0	0
493	1	data unknown	1196.77	0	0
494	1	data unknown	661.209	0	0
495	1	data unknown	288.162	0	0
496	1	data unknown	2411.66	0	0
497	1	data unknown	2424.85	0	0
498	1	data unknown	907.875	0	0
499	1	data unknown	2984.77	0	0
500	1	data unknown	2543.33	0	0
501	1	data unknown	1901.76	0	0
502	1	data unknown	708.328	0	0
503	1	data unknown	223.244	0	0
504	1	data unknown	2904.52	0	0
505	1	data unknown	1701.73	0	0
506	1	data unknown	2310.95	0	0
507	1	data unknown	2598.57	0	0
508	1	data unknown	2130.16	0	0
509	1	data unknown	801.285	0	0
510	1	data unknown	2246.87	0	0
511	1	data unknown	824.577	0	0
512	1	data unknown	420.563	0	0
513	1	data unknown	1557.1	0	0
514	1	data unknown	455.238	0	0
515	1	data unknown	1266.28	0	0
516	1	data unknown	1896.45	0	0
517	1	data unknown	1233.31	0	0
518	1	data unknown	112.289	0	0
519	1	data unknown	2078.81	0	0
520	1	data unknown	1540.93	0	0
521	1	data unknown	483.063	0	0
522	1	data unknown	723.618	0	0
523	1	data unknown	2060.01	0	0
524	1	data unknown	1989.17	0	0
525	1	data unknown	1358.21	0	0
526	1	data unknown	133.018	0	0
527	1	data unknown	291.153	0	0
528	1	data unknown	1015.95	0	0
529	1	data unknown	80.513	0	0
530	1	data unknown	274.391	0	0
531	1	data unknown	1011.29	0	0
532	1	data unknown	2283.25	0	0
533	1	data unknown	1632.35	0	0
534	1	data unknown	3665.37	0	0
535	1	data unknown	813.156	0	0
536	1	data unknown	2008.93	0	0
537	1	data unknown	1279.47	0	0
538	1	data unknown	1199.14	0	0
539	1	data unknown	1254.98	0	0
540	1	data unknown	570.641	0	0
541	1	data unknown	794.373	0	0
542	1	data unknown	1453.22	0	0
543	1	data unknown	2008.46	0	0
544	1	data unknown	702.675	0	0
545	1	data unknown	216.24	0	0
546	1	data unknown	2809.07	0	0
547	1	data unknown	1471.48	0	0
548	1	data unknown	15.3732	0	0
549	1	data unknown	2577.67	0	0
550	1	data unknown	920.662	0	0
551	1	data unknown	1080.8	0	0
552	1	data unknown	334	0	0
553	1	data unknown	2239.25	0	0
554	1	data unknown	480.133	0	0
555	1	data unknown	1335.93	0	0
556	1	data unknown	2539.03	0	0
557	1	data unknown	3812.5	0	0
558	1	data unknown	126.335	0	0
559	1	data unknown	1012.92	0	0
560	1	data unknown	1896.93	0	0
561	1	data unknown	362.305	0	0
562	1	data unknown	285.4	0	0
563	1	data unknown	870.796	0	0
564	1	data unknown	2330.47	0	0
565	1	data unknown	2038.56	0	0
566	1	data unknown	64.4073	0	0
567	1	data unknown	476.242	0	0
568	1	data unknown	2739.63	0	0
569	1	data unknown	1902.34	0	0
570	1	data unknown	2607.55	0	0
571	1	data unknown	2146.46	0	0
572	1	data unknown	2630.64	0	0
573	1	data unknown	1533.26	0	0
574	1	data unknown	602.013	0	0
575	1	data unknown	2628.52	0	0
576	1	data unknown	2611.97	0	0
577	1	data unknown	2605.76	0	0
578	1	data unknown	3426.65	0	0
579	1	data unknown	1684.74	0	0
580	1	data unknown	1738.99	0	0
581	1	data unknown	287.453	0	0
582	1	data unknown	2404.98	0	0
583	1	data unknown	2001.65	0	0
584	1	data unknown	4.31061	0	0
585	1	data unknown	969.475	0	0
586	1	data unknown	2030.18	0	0
587	1	data unknown	2069.33	0	0
588	1	data unknown	371.925	0	0
589	1	data unknown	4.14276	0	0
590	1	data unknown	1999.29	0	0
591	1	data unknown	2987.02	0	0
592	1	data unknown	2273.93	0	0
593	1	data unknown	130.249	0	0
594	1	data unknown	12.6572	0	0
595	1	data unknown	2916.25	0	0
596	1	data unknown	2032.81	0	0
597	1	data unknown	2302.6	0	0
598	1	data unknown	2529.32	0	0
599	1	data unknown	1390.53	0	0
600	1	data unknown	788.094	0	0
601	1	data unknown	2006.23	0	0
602	1	data unknown	849.869	0	0
603	1	data unknown	2331.36	0	0
604	1	data unknown	2012.32	0	0
605	1	data unknown	679.459	0	0
606	1	data unknown	1571.64	0	0
607	1	data unknown	794.731	0	0
608	1	data unknown	561.348	0	0
609	1	data unknown	301.361	0	0
610	1	data unknown	2851.98	0	0
611	1	data unknown	572.838	0	0
612	1	data unknown	1658.2	0	0
613	1	data unknown	3417.23	0	0
614	1	data unknown	1260.51	0	0
615	1	data unknown	2037.78	0	0
616	1	data unknown	2651.21	0	0
617	1	data unknown	2113.69	0	0
618	1	data unknown	2236.67	0	0
619	1	data unknown	2096.86	0	0
620	1	data unknown	1795.45	0	0
621	1	data unknown	2738.93	0	0
622	1	data unknown	2300.2	0	0
623	1	data unknown	1699.05	0	0
624	1	data unknown	3025.56	0	0
625	1	data unknown	3575.92	0	0
626	1	data unknown	698.677	0	0
627	1	data unknown	472.427	0	0
628	1	data unknown	274.529	0	0
629	1	data unknown	1007.58	0	0
630	1	data unknown	2404.47	0	0
631	1	data unknown	2301.92	0	0
632	1	data unknown	636.856	0	0
633	1	data unknown	104.271	0	0
634	1	data unknown	556.671	0	0
635	1	data unknown	1733.73	0	0
636	1	data unknown	1536.76	0	0
637	1	data unknown	2244.22	0	0
638	1	data unknown	128.128	0	0
639	1	data unknown	2638.43	0	0
640	1	data unknown	500.542	0	0
641	1	data unknown	1348	0	0
642	1	data unknown	2238.7	0	0
643	1	data unknown	2124.32	0	0
644	1	data unknown	787.796	0	0
645	1	data unknown	2158.33	0	0
646	1	data unknown	535.072	0	0
647	1	data unknown	1573.33	0	0
648	1	data unknown	1009.65	0	0
649	1	data unknown	2602.35	0	0
650	1	data unknown	471.947	0	0
651	1	data unknown	784.668	0	0
652	1	data unknown	2022.53	0	0
653	1	data unknown	2310.68	0	0
654	1	data unknown	1449.59	0	0
655	1	data unknown	36.6287	0	0
656	1	data unknown	2255.98	0	0
657	1	data unknown	3000.97	0	0
658	1	data unknown	1925.56	0	0
659	1	data unknown	2577.74	0	0
660	1	data unknown	1413.88	0	0
661	1	data unknown	40.1917	0	0
